constructorId,url,name,nationality
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
